ID,employ,gender_us,age_us,birthyr,region_us,division,inputstate,race,educ,marstat,sexuality,child18,faminc_new,social_nets_mem__1,social_nets_mem__2,social_nets_mem__3,social_nets_mem__4,social_nets_mem__5,social_nets_mem__6,social_nets_mem__7,social_nets_mem__8,social_nets_mem__9,social_nets_mem__10,social_nets_mem__11,social_nets_mem__12,social_nets_mem__13,social_nets_mem__97,social_nets_mem__98,social_nets_mem__99,social_nets_mem_other,inputzipdma_recode,hholdsize,e14_presvote12,presvote16post,ideo5,votereg,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B3,age_cross,faminc_new_r,race_w8,race_xbreak,educ_w8,age_gender,w_age_gender,w_demogs,country,age_int_all,age_grp_all,gender,age,region,duration,weight_pol
763,1,1,61,1956,3,5,12,1,2,1,1,2,10,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0, ,592,2,4,2,4,1,3,3,1,1,4,1,3,2,4,3,3,4,5,3,3,1,1,1,3,5,25,230,61,5,1,61,3,29.3333333333,.440399585
764,1,1,33,1985,1,1,9,1,5,1,1,2,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0, ,501,2,1,1,3,1,2,2,1,1,2,2,3,3,4,3,3,5,2,1,3,1,1,3,1,2,15,230,33,2,1,33,1,11.65,.689915508
765,1,2,26,1991,1,1,25,3,5,5,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0, ,506,6,4,7,6,2,2,2,2,2,2,3,5,4,4,5,5,4,3,1,1,3,3,3,4,7,59,230,26,2,2,26,1,8.11666666667,1.278287184
766,4,2,48,1969,3,5,12,1,3,1,1,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,539,1,4,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,2,3,1,1,2,5,9,74,230,48,4,2,48,3,5.48333333333,.39989965
767,4,2,32,1986,3,5,37,1,2,5,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,518,1,4,1,3,1,4,5,3,1,2,5,1,2,4,4,2,3,5,1,1,1,1,1,4,7,61,230,32,2,2,32,3,5.06666666667,.585534682
768,1,1,38,1979,2,3,39,1,1,5,1,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,510,3,4,7,2,3,1,5,5,2,4,3,2,1,3,4,5,4,5,2,4,1,1,1,2,3,13,230,38,3,1,38,2,4.58333333333,3.010555039
769,6,2,51,1966,3,5,12,3,2,1,1,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,539,9,4,1,1,1,4,1,4,4,4,1,5,5,5,5,5,5,5,2,1,3,3,1,5,9,81,230,51,4,2,51,3,47.7,.748219169
770,1,2,46,1972,3,5,37,2,3,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,517,1,1,1,2,1,1,4,4,2,4,1,3,2,2,4,3,5,5,2,1,2,2,2,5,9,78,230,46,4,2,46,3,15.7833333333,.755465486
771,7,2,58,1959,1,2,42,1,5,1,1,2,14,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0, ,504,3,2,2,4,1,2,1,2,1,2,1,5,4,3,5,5,4,5,3,3,1,1,3,6,10,75,230,58,5,2,58,1,14.0166666667,.754948603
772,4,2,24,1993,3,5,12,2,1,5,1,2,3,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0, ,539,4,4,7,6,2,1,1,2,1,2,1,5,5,5,5,3,2,2,1,1,2,2,1,4,6,53,230,24,1,2,24,3,23.6833333333,2.350817453
